title,language,genre,release_year,duration_minutes,rating,views_estimated
Leo,Tamil,Action/Thriller,2023,164,8.3,850000
Vikram,Tamil,Action,2022,175,8.4,920000
Ponniyin Selvan 1,Tamil,Historical,2022,167,8.2,880000
Ponniyin Selvan 2,Tamil,Historical,2023,170,8.6,950000
Soorarai Pottru,Tamil,Drama,2020,153,9.1,1200000
Kaithi,Tamil,Thriller,2019,145,8.5,780000
Asuran,Tamil,Action/Drama,2019,141,8.4,730000
Mersal,Tamil,Action,2017,172,7.9,690000
Bigil,Tamil,Sports,2019,178,7.8,820000
Enthiran,Tamil,Sci-Fi,2010,174,7.6,600000
Jawan,Hindi,Action,2023,169,7.5,1400000
Pathaan,Hindi,Action,2023,146,6.9,1300000
Brahmastra,Hindi,Fantasy,2022,167,5.6,900000
Dangal,Hindi,Sports,2016,161,8.3,1250000
PK,Hindi,Comedy/Drama,2014,153,8.1,1000000
3 Idiots,Hindi,Comedy/Drama,2009,170,8.4,1500000
Bajrangi Bhaijaan,Hindi,Drama,2015,159,8,1100000
Gadar 2,Hindi,Action/Drama,2023,170,6.5,950000
Sanju,Hindi,Biography,2018,155,7.7,980000
War,Hindi,Action,2019,154,6.8,870000
RRR,Telugu,Action/Drama,2022,182,8,1600000
Baahubali,Telugu,Epic,2015,158,8.1,1400000
Baahubali 2,Telugu,Epic/Action,2017,167,8.2,1800000
Pushpa,Telugu,Action,2021,179,7.6,1300000
Ala Vaikunthapurramuloo,Telugu,Drama,2020,165,7.3,900000
Arjun Reddy,Telugu,Romance/Drama,2017,182,8.2,1000000
Saaho,Telugu,Action,2019,170,5.8,850000
Mahanati,Telugu,Biography,2018,177,8.5,750000
KGF Chapter 1,Kannada,Action,2018,156,8.2,1250000
KGF Chapter 2,Kannada,Action,2022,168,8.4,1900000
Kantara,Kannada,Thriller/Drama,2022,150,8.3,900000
Premam,Malayalam,Romance,2015,157,8.3,600000
Drishyam,Malayalam,Thriller,2013,160,8.5,850000
Drishyam 2,Malayalam,Thriller,2021,152,8.4,780000
Lucifer,Malayalam,Action/Drama,2019,175,7.9,900000
Avatar,English,Sci-Fi,2009,162,7.8,2500000
Avatar 2,English,Sci-Fi,2022,192,7.7,2700000
Avengers Endgame,English,Superhero,2019,181,8.4,3500000
Avengers Infinity War,English,Superhero,2018,149,8.4,3300000
The Dark Knight,English,Action,2008,152,9,3000000
Inception,English,Sci-Fi,2010,148,8.8,2800000
The Matrix,English,Sci-Fi,1999,136,8.7,2400000
Interstellar,English,Sci-Fi,2014,169,8.6,2600000
Top Gun Maverick,English,Action,2022,130,8.3,2100000
Oppenheimer,English,Biography/Drama,2023,181,8.6,2900000
Barbie,English,Comedy,2023,114,6.8,2200000
Joker,English,Crime/Drama,2019,122,8.4,2700000
Minions,English,Animation,2015,91,6.4,1800000
Deadpool,English,Action/Comedy,2016,108,8,2000000
The Conjuring,English,Horror,2013,112,7.5,1700000
Titanic,English,Romance/Drama,1997,194,7.9,3200000
The Lion King,English,Animation,2019,118,6.8,2100000
Train to Busan,Korean,Horror/Thriller,2016,118,7.6,950000
Parasite,Korean,Thriller/Drama,2019,132,8.6,1800000
Oldboy,Korean,Action/Drama,2003,120,8.4,650000
Your Name,Japanese,Animation/Romance,2016,112,8.4,1200000
Spirited Away,Japanese,Animation/Fantasy,2001,125,8.6,1000000
The Wandering Earth,Chinese,Sci-Fi,2019,125,6,900000
IP Man,Chinese,Action,2008,108,8,850000
Hero,Chinese,Action/Epic,2002,99,7.9,900000
